nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Consultoria em aproveitamento de águas pluviais em condomínios e escolas,Itajubá,Garcia Monaco Consultoria Ambiental,Itajubá - MG,(35) 3623-2396,,Consultoria,4.5,8,,-22.421421,-45.460667
Consultoria em aproveitamento de águas pluviais em condomínios e escolas,Itajubá,Equilibre Ambiental,Itajubá - MG,(35) 3622-2837,,Consultor ambiental,4.9,18,"""Super recomendo e confio na equipe da empresa Equilibre Ambiental!""",-22.422697,-45.453815
Projetos de acessibilidade e certificação de calçadas urbanas,Itajubá,DAC Engenharia Ltda,Itajubá - MG,(35) 2143-9087,,Empresa de engenharia civil,5.0,11,"""Competência , agilidade e atendimento e serviço completo em engenharia""",-22.426107,-45.448444
Avaliação técnica e certificação de eficiência de motores elétricos industriais,Itajubá,High Voltage Equipment - HVEX,Itajubá - MG,(35) 3622-2699,,Equipamentos e soluções de energia,4.9,29,"""Bem atenciosos, respiram inovação e tecnologia do setor elétrico""",-22.438398,-45.437447
Avaliação técnica e certificação de eficiência de motores elétricos industriais,Itajubá,MTAEV,Itajubá - MG,(35) 3621-1876,,Escola vocacional,0.0,0,,-22.42476,-45.454647
Avaliação técnica e certificação de eficiência de motores elétricos industriais,Itajubá,ISEE - Instituto de Sistemas Elétricos e Energia,Itajubá - MG,,,Universidade,4.7,3,,-22.412193,-45.44992
Avaliação técnica e certificação de eficiência de motores elétricos industriais,Itajubá,"ACIEI - Associação Comercial, Industrial e Empresarial de Itajubá | MG",Itajubá - MG,(35) 3622-1020,,Associação / organização,4.3,107,"""Excelente instituição para associados e também para se trabalhar!!""",-22.424843,-45.458782
Avaliação técnica e certificação de eficiência de motores elétricos industriais,Itajubá,Sisvôo – Sistemas Eletrônicos Ltda.,Itajubá - MG,(35) 3621-2823,,Fabricante de eletrônicos,4.9,14,"""Empresa sensacional.""",-22.425716,-45.476257
Avaliação técnica e certificação de eficiência de motores elétricos industriais,Itajubá,EXCEN,Itajubá - MG,,,Universidade pública,4.5,2,,-22.410799,-45.45087
Avaliação técnica e certificação de eficiência de motores elétricos industriais,Itajubá,Laboratório de Alta Tensão - Bloco K2,Itajubá - MG,(35) 3622-3546,,Universidade pública,5.0,5,,-22.410666,-45.452023
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,Equilibre Ambiental,Itajubá - MG,(35) 3622-2837,,Consultor ambiental,4.9,18,"""Super recomendo e confio na equipe da empresa Equilibre Ambiental!""",-22.422697,-45.453815
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,AER,Itajubá - MG,(35) 99204-0064,,Equipamentos e soluções de energia,5.0,3,,-22.43108,-45.45909
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,Garcia Monaco Consultoria Ambiental,Itajubá - MG,(35) 3623-2396,,Consultoria,4.5,8,,-22.421421,-45.460667
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,iX Estudos e Projetos,Itajubá - MG,(35) 3622-3114,,Consultoria em engenharia,5.0,5,"""super interessante.""",-22.424894,-45.457306
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,IESTI - Instituto de Engenharia de Sistemas e Tecnologia da Informação,Itajubá - MG,,,Consultoria de informática,5.0,26,"""O maior e melhor instituto""",-22.412235,-45.44987
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,Energia Service,Itajubá - MG,(35) 3617-0296,,Fornecedor de equipamentos a energia solar,4.8,17,"""Empresa de ótima qualidade!!""",-22.438341,-45.4369
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,Solarprime Soluções em Energia | Unidade Itajubá,Itajubá - MG,(35) 99139-2758,,Fornecedor de equipamentos a energia solar,5.0,42,"""Cliente satisfeito com a compra e colocação do sistema fotovoltaico.""",-22.441967,-45.433247
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,Projetek Engenharia,Itajubá - MG,(34) 99993-6620,,Engenheiro civil,5.0,1,,-22.423788,-45.46176
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,Santi Engenharia e Meio Ambiente,Itajubá - MG,(35) 99989-1550,,Escritório da empresa,0.0,0,,-22.420956,-45.44589
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,Rennosonic Tecnologia,Itajubá - MG,(35) 3622-0327,,Escritório da empresa,4.9,8,,-22.42691,-45.448032
Consultoria em adequação de edifícios às normas de eficiência energética,Itajubá,STDE Service,Itajubá - MG,(35) 3621-2186,,Consultoria,5.0,3,,-22.422613,-45.456676
